wavelength,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
300,0.354458563,0.210169486,0.143767003,0.113396171,0.073007941,0.036419057,0.034374799,0.08096975,0.073699909,0.171066271,0.192211718,0.109647718,0.188123463,0.088917713,0.089960772,0.112495648,0.096386095,0.148092937,0.206822079,0.326587347,0.103823053,0.100931725,0.119838821,0.222412229,0.219131844,0.391804452,0.119780882,0.119726802,0.108194352,0.105102158,0.1537047,0.121926128,0.140592608,0.134971693,0.120488228,0.139106694,0.222797171,0.151001617,0.196584485,0.292546166,0.104818871,0.15435407,0.248443027,0.508940269,0.514586945
301,0.343979247,0.207926606,0.143995884,0.108312424,0.074847251,0.03421618,0.036706823,0.079904969,0.073487614,0.174678658,0.18749235,0.108236284,0.185367105,0.091110719,0.089003531,0.114652364,0.094482145,0.141199568,0.202756628,0.335458309,0.099807464,0.098887829,0.122601474,0.223228311,0.219723303,0.396588984,0.11771698,0.118138184,0.103043445,0.104672917,0.154530954,0.119172519,0.139898274,0.135473151,0.119478892,0.13798176,0.213826659,0.150451092,0.19220341,0.293813885,0.102738703,0.155392411,0.253235355,0.505204404,0.509816744
302,0.35175354,0.20718049,0.141936057,0.112231994,0.073941436,0.033514549,0.036654794,0.081801282,0.073073657,0.170273568,0.187943991,0.111930571,0.189162112,0.091931257,0.089519193,0.114151461,0.094913562,0.141286102,0.205443457,0.335176557,0.101088921,0.099616501,0.120697851,0.221263447,0.218043599,0.39089356,0.116924869,0.119155648,0.10003117,0.104865966,0.154390931,0.118969488,0.142527896,0.138367074,0.119181241,0.138674349,0.21766836,0.15025281,0.192549611,0.299777322,0.103968698,0.153176674,0.248840514,0.510039289,0.515413521
303,0.347849604,0.209613638,0.141928142,0.115375957,0.074245733,0.036225832,0.033983444,0.08093419,0.073973922,0.169190271,0.188684225,0.108886962,0.189212337,0.090555146,0.091056407,0.109746452,0.093965424,0.138250653,0.208888262,0.336473431,0.0989971,0.100124577,0.118553647,0.219208649,0.219613058,0.393388821,0.116345444,0.118850681,0.101707903,0.103621251,0.153092623,0.118236467,0.143717221,0.13892308,0.117893611,0.13967167,0.219290823,0.150957333,0.194181032,0.301223831,0.104392158,0.151645127,0.256914232,0.510233931,0.516991
304,0.35127278,0.214172525,0.147028356,0.119042996,0.072410461,0.036384919,0.034089583,0.082308421,0.075800668,0.168809639,0.189052351,0.109985711,0.184137747,0.090389199,0.090581732,0.115029221,0.090975588,0.139625967,0.211560115,0.346904672,0.097528504,0.097236939,0.11953772,0.225877322,0.224553105,0.398741646,0.122186232,0.11914435,0.10789988,0.106064431,0.153729576,0.118678324,0.143658525,0.139763876,0.124141488,0.138439434,0.218552442,0.151298715,0.193603682,0.310250515,0.106695691,0.161183573,0.259205636,0.520675351,0.525881168
305,0.352383527,0.213720516,0.143170855,0.113463325,0.072892533,0.034543044,0.034212516,0.081882936,0.075497292,0.168149868,0.191727609,0.109038055,0.18296136,0.086782864,0.090018608,0.113880412,0.088497316,0.138300344,0.20774591,0.354548058,0.097537323,0.096726916,0.11521463,0.227175094,0.223832864,0.404396534,0.117789877,0.118241759,0.103922476,0.106103197,0.157202936,0.11682116,0.139399329,0.139139549,0.120207624,0.143967181,0.220840943,0.153329431,0.201254488,0.306259685,0.107295226,0.152375003,0.256244991,0.522410925,0.530124921
306,0.35439654,0.210730219,0.146933256,0.116959882,0.075019143,0.033352305,0.035532926,0.08118447,0.074220692,0.168236564,0.192244553,0.106654288,0.182899532,0.087031499,0.090345485,0.112281305,0.090779319,0.138258755,0.203710898,0.358378513,0.098847187,0.096823074,0.115230862,0.225328584,0.224826268,0.405201741,0.120609443,0.120279578,0.103826363,0.106295623,0.153085062,0.118087506,0.136478443,0.140913306,0.120522311,0.144029636,0.222674651,0.151321952,0.19503727,0.306874522,0.101854085,0.155578656,0.257701131,0.529798782,0.534063376
307,0.355166785,0.208202649,0.142094385,0.110503877,0.070868487,0.033413139,0.033276559,0.083102489,0.071591017,0.161861334,0.187412826,0.104207421,0.177346257,0.087087372,0.089287946,0.107277758,0.088546198,0.130208415,0.199236562,0.353443084,0.093122368,0.097743637,0.114643129,0.223180799,0.221913056,0.402977234,0.115542426,0.116144578,0.101728394,0.101353017,0.151350907,0.112342212,0.139196314,0.139078417,0.119667199,0.135546316,0.216511816,0.145584329,0.193191512,0.303201687,0.101040208,0.15538333,0.259389778,0.526933893,0.526425514
308,0.349035552,0.209113556,0.143490214,0.113944803,0.073706169,0.035701735,0.033059584,0.082629453,0.069410131,0.156421458,0.179724411,0.105593345,0.177046626,0.083072356,0.086167069,0.107000424,0.088225611,0.134723822,0.201960113,0.352693312,0.094175491,0.09541463,0.112263493,0.223653975,0.22145506,0.402662666,0.115408697,0.113991255,0.099830685,0.103144601,0.151668325,0.115809141,0.141884728,0.139615836,0.119485847,0.13469075,0.221111757,0.146026738,0.196001086,0.308999537,0.100401672,0.15252767,0.254567405,0.530901331,0.528163702
309,0.352162337,0.209140074,0.143744429,0.115337563,0.073936374,0.032740938,0.034711247,0.082395465,0.073731042,0.164029249,0.184965594,0.10906724,0.175178226,0.088582758,0.085241088,0.107450838,0.088653948,0.130841469,0.199483737,0.357376076,0.092036188,0.096640328,0.113546234,0.227210322,0.226055018,0.409891016,0.112878512,0.11784799,0.09985531,0.100026382,0.150488816,0.114865985,0.140963421,0.138595853,0.121925223,0.141512858,0.225828358,0.147641396,0.195788054,0.304156176,0.10156821,0.150092091,0.25760457,0.527368693,0.536599093
