V_mean,Sv_mean,M_mean,L_mean
0.170184113,0.173272586,0.178145189,0.168856209
0.102090033,0.101323359,0.109804644,0.103254973
0.06548723,0.063224536,0.071059054,0.062070956
0.050194468,0.046130878,0.05230774,0.042426866
0.031141458,0.026600252,0.032444297,0.021836466
0.016183573,0.010715337,0.016147859,0.00517006
0.017685507,0.012542502,0.017975989,0.006960474
0.02777416,0.026632522,0.038901587,0.034026148
0.029963208,0.029822198,0.046337204,0.049441259
0.056224797,0.08178699,0.132258383,0.05928307
0.047148157,0.066145735,0.15770688,0.097482636
0.040428276,0.05091231,0.07430994,0.048002
0.220110568,0.367886946,0.361133495,0.153069177
0.075433717,0.114077325,0.208423831,0.101899683
0.113091277,0.185189697,0.196678843,0.079383616
0.132368846,0.211617561,0.160371775,0.056652587
0.195890784,0.281516069,0.113208117,0.028129748
0.231894778,0.32049525,0.160348664,0.051873292
0.244648826,0.334663785,0.231816636,0.107232888
0.318679368,0.320136923,0.163504529,0.107912035
0.139863652,0.202579752,0.089410596,0.02217286
0.091511778,0.119366808,0.06578439,0.021573546
0.110879842,0.140091015,0.069269281,0.021911063
0.141506319,0.10850792,0.035184183,0.068091045
0.37571703,0.289652706,0.109719054,0.243952438
0.538744347,0.464423137,0.215878598,0.626005473
0.163479103,0.124602148,0.085341526,0.147771445
0.110748956,0.100948846,0.156480825,0.409549143
0.081266087,0.06757522,0.098053798,0.314673466
0.091824993,0.109121248,0.207362803,0.39648204
0.157070691,0.111450648,0.073602751,0.250623496
0.108800412,0.067563857,0.055759785,0.348498894
0.093150369,0.058239337,0.058026176,0.32743819
0.078437784,0.052516319,0.064757482,0.292236142
0.045490553,0.025516512,0.108855746,0.363333668
0.040182225,0.024896267,0.116979059,0.309173588
0.111905073,0.075663829,0.171223017,0.433747281
0.065295357,0.063558401,0.249574851,0.499972564
0.085536158,0.117546497,0.401469498,0.518046768
0.364685957,0.316140805,0.227577917,0.552275947
0.301923407,0.247934862,0.22856189,0.550367274
0.232495594,0.21408906,0.402277125,0.559972928
0.136945414,0.111658072,0.236050541,0.397538536
0.056270706,0.080175973,0.188657451,0.257123342
0.083014153,0.118348647,0.233781506,0.298846429
0.130431503,0.173754063,0.276526168,0.329473801
0.245110914,0.265443801,0.287530383,0.298147836
0.241248841,0.260803824,0.279904636,0.286373691
